Test,Circuit,Phase 1,Phase 2,Phase 3
10,73,7,7,5
10,74,16,8,8
10,75,6,6,5
10,76,13,13,9
10,77,16,9,9
10,78,8,8,6
10,79,6,4,4
10,80,15,7,11
10,81,10,5,5
10,82,14,10,10
10,83,7,5,5
10,84,12,10,10
10,85,10,9,7
10,86,9,4,4
10,87,16,10,8
10,88,12,10,11
10,89,12,7,20
10,90,1,2,1
10,91,8,5,6
10,92,17,8,6
10,93,8,4,4
10,94,18,13,9
10,95,9,7,8
10,96,12,5,5
10,97,9,7,7
10,98,6,9,7
10,99,6,9,5
10,100,4,6,4
